"nombre"	"tipo_centro"	"dir"	"horario"	"dias"	"lon"	"lat"	"tipo"	"entidades_que_apoya"	"entidad"
"Universidad de Guadalajara en Coordinación de Extensión o en Servicios Médicos Integrales "	"Académico"	"Periférico Norte N° 799, Núcleo Universitario Los Belenes, 45100 Zapopan, Jal."	"08:00 - 17:00"	""	-103.3808525	20.7407607	"Alimentos y agua, Higiene personal, Limpieza del hogar, Cobijas, Ropa"	"Oaxaca, Chiapas"	"Jalisco"
"Presidencia Municipal Zapopan"	"Gobierno"	"Avenida Hidalgo 151, Zapopan, 45100 Zapopan, Jal."	"9:00 - 16:00"	""	-103.3898239	20.7216089	"Alimentos y agua, Higiene personal, Limpieza del hogar, Cobijas"	"Oaxaca, Chiapas"	"Jalisco"
"DIF Zapopan"	"Gobierno"	"Av. Laureles 1151, Unidad Fovissste, 45149 Zapopan, Jal."	"9:00 - 15:00"	""	-103.403356	20.7379616	"Alimentos y agua, Higiene personal, Limpieza del hogar, Cobijas"	"Oaxaca, Chiapas"	"Jalisco"
"DIF Playa del Carmen - Palapa de Usos Múltiples"	"Gobierno"	"Calle 8 Nte, Gonzalo Guerrero, 77720 Playa del Carmen, Q.R."	"9:00 - 17:00"	"Lunes a domingo"	-87.076454	20.6281345	"Alimentos y agua, Higiene personal, Limpieza del hogar, Cobijas, Ropa y zapatos"	"Oaxaca, Chiapas"	"Quintana Roo"
"Cruz Roja Mexicana - Sede Nacional"	"Cruz Roja"	"uan Luis Vives 200, Polanco I Sección, Polanco I Secc, 11510 Miguel Hidalgo, CDMX"	"8:00 - 20:00"	"Lunes a domingo"	-99.2093693	19.4377163	"Atún, sardinas, frijoles, arroz, lenteja, sopa de pasta, chiles en lata, consomé de pollo en polvo, verduras en lata, sal, mayonesa, aceite, café soluble, azúcar, mermelada, chocolate en polvo, galletas, abrelatas"	""	"CDMX"
"Cruz Roja Mexicana - Delegación Estado de México"	"Cruz Roja"	"Paseo Santa Elena 72, Fraccionamiento Santa Elena, 52100 San Mateo Atenco, Méx"	"8:00 - 20:00"	"Lunes a domingo"	-99.5404776	19.2832777	"Atún, sardinas, frijoles, arroz, lenteja, sopa de pasta, chiles en lata, consomé de pollo en polvo, verduras en lata, sal, mayonesa, aceite, café soluble, azúcar, mermelada, chocolate en polvo, galletas, abrelatas"	""	"EdoMex"
"Cruz Roja Mexicana - Delegación Oaxaca"	"Cruz Roja"	"Armenta y López No. 700 Colonia Centro. CP: 68000 Oaxaca, Oaxaca."	"8:00 - 20:00"	"Lunes a domingo"	-96.7247816	17.0559717	"Atún, sardinas, frijoles, arroz, lenteja, sopa de pasta, chiles en lata, consomé de pollo en polvo, verduras en lata, sal, mayonesa, aceite, café soluble, azúcar, mermelada, chocolate en polvo, galletas, abrelatas"	""	"Oaxaca"
"Cruz Roja Mexicana - Delegación Chiapas"	"Cruz Roja"	"Libramiento Nte. Ote. 451, Albania Baja, 29010 Tuxtla Gutiérrez, Chis."	"8:00 - 20:00"	"Lunes a domingo"	-93.110086	16.770447	"Atún, sardinas, frijoles, arroz, lenteja, sopa de pasta, chiles en lata, consomé de pollo en polvo, verduras en lata, sal, mayonesa, aceite, café soluble, azúcar, mermelada, chocolate en polvo, galletas, abrelatas"	""	"Chiapas"
"Cruz Roja Mexicana - Delegación Tabasco"	"Cruz Roja"	"Av. Paseo Tabasco No. 613, Colonia Jesús García, 86040, Villahermosa, Tabasco."	"8:00 - 20:00"	"Lunes a domingo"	-92.9365095	17.9943341	"Atún, sardinas, frijoles, arroz, lenteja, sopa de pasta, chiles en lata, consomé de pollo en polvo, verduras en lata, sal, mayonesa, aceite, café soluble, azúcar, mermelada, chocolate en polvo, galletas, abrelatas"	""	"Tabasco"
"Campo Marte"	"Gobierno"	"Avenida Paseo de La Reforma, Miguel Hidalgo, San Miguel Chapultepec, 11850 Ciudad de México, CDMX"	""	"Lunes a domingo"	-99.1882254	19.4251167	"Atún, sardinas, frijoles, arroz, lenteja, sopa de pasta, chiles en lata, consomé de pollo en polvo, verduras en lata, sal, mayonesa, aceite, café soluble, azúcar, mermelada, chocolate en polvo, galletas, abrelatas"	""	"CDMX"
"Walmart"	NA	"Miguel Othon de Mendizabal Oriente No. 343 Nueva Industrial Vallejo 07700 México Ciudad De México Mexico"	"07:00 - 23:00"	"Lunes a Domingo"	-99.1481851	19.5059313	NA	NA	"CDMX"
"Walmart"	NA	"Av. Universidad No. 936-A Santa Cruz Atoyac 03310 Benito Juárez México Ciudad De México Mexico"	"07:00 - 23:00"	"Lunes a Domingo"	-99.1633618	19.3685216	NA	NA	"CDMX"
"Walmart"	NA	"Av. Canal De Miramontes No. 3520 San Bartolo Coapa 14390 Tlalpan México Ciudad De México Mexico"	"07:00 - 23:00"	"Lunes a Domingo"	-99.127671	19.285866	NA	NA	"CDMX"
