"fecha","Institucion","Nombre","Tipo","Bytes","Version"
2014-07-08,"sagarpa","UbicaciÃ³n geogrÃ¡fica de los incentivos otorgados por el FIRCO","kmz","48000",20
2014-07-08,"sagarpa","UbicaciÃ³n de las 32 Gerencias Estatales FIRCO","csv","7000",20
2014-07-08,"sagarpa","UbicaciÃ³n geogrÃ¡fica de las 32 Gerencias Estatales de FIRCO","kmz","8000",20
2014-07-08,"sagarpa","Alumnos atendidos","csv","3000",20
2014-07-08,"sagarpa","Becas otorgadas a alumnos","csv","1000",20
2014-07-08,"sagarpa","Total de alumnos 2013","csv","1000",20
2014-07-08,"sagarpa","Total de alumnos por campus 2013","csv","1000",20
2014-07-08,"sagarpa","Total de alumnos por campus, programa y area 2013","csv","2000",20
2014-07-10,"nafin","Otorgamientos del 2013","text/csv","",18
2014-07-10,"nafin","Otorgamientos 2014 hasta Mayo","text/csv","",18
2014-07-10,"nafin","CatÃ¡logo de estados","text/csv","",18
2014-07-10,"nafin","CatÃ¡logo de estados","text/csv","",18
2014-07-10,"nafin","CatÃ¡logo de estratos","text/csv","",18
2014-07-11,"coneval","Inventario Federal 2004","text/csv",NA,8
2014-07-11,"coneval","Inventario Federal 2005","text/csv",NA,8
2014-07-11,"coneval","Inventario Federal 2006","text/csv",NA,8
2014-07-11,"coneval","Inventario Federal 2007","text/csv",NA,8
2014-07-11,"coneval","Inventario Federal 2008","text/csv",NA,8
2014-07-11,"coneval","Inventario Federal 2009","text/csv",NA,8
2014-07-11,"coneval","Inventario Federal 2010","text/csv",NA,8
2014-07-11,"coneval","Inventario Federal 2011","text/csv",NA,8
2014-07-11,"coneval","Inventario Federal 2012","text/csv",NA,8
2014-07-11,"coneval","Inventario Federal 2013","text/csv",NA,8
2014-07-11,"coneval","ValoraciÃ³n Consistencia y Resultados 2007-2008","text/csv",NA,8
2014-07-11,"coneval","ValoraciÃ³n del DesempeÃ±o 2008-2009","text/csv",NA,8
2014-07-11,"coneval","ValoraciÃ³n del DesempeÃ±o 2009-2010","text/csv",NA,8
2014-07-11,"coneval","ValoraciÃ³n del DesempeÃ±o 2010-2011","text/csv",NA,8
2014-07-11,"coneval","ValoraciÃ³n Consistencia y Resultados 2011-2012","text/csv",NA,8
2014-07-11,"coneval","ValoraciÃ³n del DesempeÃ±o 2012-2013","text/csv",NA,8
2014-07-11,"coneval","ValoraciÃ³n Ficha de Monitoreo 2012-2013","text/csv",NA,8
2014-07-11,"coneval","Datos Generales EED 2012-2013","text/csv",NA,8
2014-07-11,"coneval","Reporte de Cobertura de la EED 2012-2013","text/csv",NA,8
2014-07-11,"coneval","Reporte de Conclusiones de la EED 2012-2013","text/csv",NA,8
2014-07-11,"coneval","Reporte General  de la EED 2012-2013","text/csv",NA,8
2014-07-11,"coneval","Reporte de Indicadores de la EED 2012-2013","text/csv",NA,8
2014-07-11,"coneval","Municipal 2010","text/csv","2451451",8
2014-07-11,"coneval","Pobreza estatal 2010","text/csv","10606",8
2014-07-11,"coneval","Pobreza estatal 2010-2012","text/csv","12107",8
2014-07-11,"coneval","Rezago social estatal","text/csv","13407",8
2014-07-11,"coneval","Rezago social municipal","text/csv","976956",8
2014-07-11,"coneval","Rezago social por localidad","text/csv","15329416",8
2014-07-11,"coneval","DiagnÃ³stico del avance en monitoreo y evaluaciÃ³n en las entidades federativas 2011","csv","4136",8
2014-07-11,"coneval","DiagnÃ³stico del avance en monitoreo y evaluaciÃ³n en las entidades federativas 2013","csv","5675",8
2014-07-11,"coneval","DiagnÃ³stico de Matrices de Indicadores para Resultados 2008","csv","38761",8
2014-07-11,"coneval","DiagnÃ³stico de Matrices de Indicadores para Resultados 2010","csv","55324",8
2014-07-11,"coneval","DiagnÃ³stico de Matrices de Indicadores para Resultados 2012","csv","53146",8
2014-07-11,"coneval","ValoraciÃ³n a los indicadores sociales de gestiÃ³n, bienes y servicios, y resultados indicadores sociales 2010","csv","696713",8
2014-07-11,"coneval","ValoraciÃ³n a los indicadores sociales de gestiÃ³n, bienes y servicios, y resultados indicadores sociales 2012","csv","761235",8
2014-07-15,"nafin","Otorgamientos del 2013","text/csv","",17
2014-07-15,"nafin","Otorgamientos 2014 hasta Junio (Cifra en Millones de Pesos)","text/csv","",17
2014-07-15,"nafin","CatÃ¡logo de estados","text/csv","",17
2014-07-15,"nafin","CatÃ¡logo de estados","text/csv","",17
2014-07-15,"nafin","CatÃ¡logo de estratos","text/csv","",17
2014-07-18,"conapo","Entidades Federativas 2010/2050","text/csv",NA,9
2014-07-18,"conapo","Municipios 2010/2030","text/csv",NA,9
2014-07-18,"conapo","Por localidad 2010/2030","text/csv",NA,9
2014-07-18,"conapo","Indicadores DemogrÃ¡ficos 1990/2030","text/csv",NA,9
2014-07-18,"sct","Contratos de obras pÃºblicas","text/csv"," 528,384 ",6
2014-07-18,"sct","ConservaciÃ³n de Carreteras","text/csv"," 205,824 ",6
2014-07-18,"sct","CircunscripciÃ³n territorial de carreteras federales libres de peaje.","text/csv"," 347,136 ",6
2014-07-18,"sct","Tarifas vigentes","text/csv"," 53,248 ",6
2014-07-18,"sct","UbicaciÃ³n y generales de casetas de cobro","text/csv"," 71,680 ",6
2014-07-18,"sct","Movimientos en ZONA 1 (1_PC_FELICIANO)","text/csv"," 4,527,104 ",6
2014-07-18,"sct","Movimientos en ZONA 1 (2_JOLUTA)","text/csv"," 3,406,848 ",6
2014-07-18,"sct","Movimientos en ZONA 1 (3_SAN_JUAN_BOSCO)","text/csv"," 950,272 ",6
2014-07-18,"sct","Movimientos en ZONA 1 (4_PC_SAN_MARTIN)","text/csv"," 43,987,968 ",6
2014-07-18,"sct","Movimientos en ZONA 1 (5_AMOZOC)","text/csv"," 17,582,080 ",6
2014-07-18,"sct","Movimientos en ZONA 1 (6_PC_AMOZOC)","text/csv"," 13,483,008 ",6
2014-07-18,"sct","Movimientos en ZONA 2 (1_MONTECILLOS)","text/csv"," 2,991,104 ",6
2014-07-18,"sct","Movimientos en ZONA 2 (3_AUTODROMO_AGS)","text/csv"," 5,940,224 ",6
2014-07-18,"sct","Movimientos en ZONA 2 (4_PUERTA_PALMILLAS)","text/csv"," 7,088,128 ",6
2014-07-18,"sct","Movimientos en ZONA 2 (5_PC_PALMILLAS)","text/csv"," 38,611,968 ",6
2014-07-18,"sct","Movimientos en ZONA 2 (6_SAN_SEBASTIAN)","text/csv"," 12,009,472 ",6
2014-07-18,"sct","Movimientos en ZONA 3 (1_PC_TEPOZTLAN)","text/csv"," 7,984,128 ",6
2014-07-18,"sct","Movimientos en ZONA 3 (2_PC_TLALPAN)","text/csv"," 38,871,040 ",6
2014-07-18,"sct","Movimientos en ZONA 3 (3_PC_CHICHEN ITZA)","text/csv"," 3,028,992 ",6
2014-07-18,"sct","Movimientos en ZONA 3 (4_KAUA)","text/csv"," 2,604,032 ",6
